Province,City,Price,Square Feet,Baths,Bedrooms,Property Type,Year Built
BC,Vancouver,2199000.0,2406.0,3.0,6.0,SINGLE_FAMILY_HOUSE,1981.0
BC,Vancouver,899800.0,972.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2010.0
BC,Vancouver,1029999.0,1012.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2002.0
BC,Vancouver,1799000.0,2645.0,3.0,5.0,SINGLE_FAMILY_HOUSE,1975.0
BC,Vancouver,859900.0,962.0,2.0,2.0,TOWNHOUSE,1986.0
BC,Vancouver,349999.0,686.0,1.0,1.0,CONDO,1964.0
BC,Vancouver,999000.0,1183.0,2.0,3.0,CONDO,1995.0
BC,Vancouver,3180000.0,2718.0,4.0,5.0,SINGLE_FAMILY_HOUSE,1939.0
BC,Vancouver,3198000.0,3486.0,3.0,5.0,SINGLE_FAMILY_HOUSE,1948.0
BC,Vancouver,629999.0,825.0,2.0,2.0,SINGLE_FAMILY_HOUSE,1993.0
BC,Vancouver,698000.0,590.0,1.0,1.0,CONDO,1996.0
BC,Vancouver,2199000.0,2406.0,3.0,6.0,SINGLE_FAMILY_HOUSE,1981.0
BC,Vancouver,909900.0,757.0,1.0,1.0,CONDO,2004.0
BC,Vancouver,1079000.0,884.0,3.0,2.0,MULTI_FAMILY,2025.0
BC,Vancouver,1528000.0,1583.0,3.0,3.0,MULTI_FAMILY,2025.0
BC,Vancouver,1538000.0,1583.0,3.0,3.0,SINGLE_FAMILY_HOUSE,2025.0
BC,Vancouver,610000.0,580.0,1.0,1.0,SINGLE_FAMILY_HOUSE,1999.0
BC,Vancouver,1099000.0,1010.0,2.0,2.0,CONDO,2003.0
BC,Vancouver,2099000.0,2600.0,2.0,5.0,SINGLE_FAMILY_HOUSE,1920.0
BC,Vancouver,1349000.0,1570.0,3.0,2.0,TOWNHOUSE,1993.0
BC,Vancouver,1188000.0,1030.0,2.0,3.0,MULTI_FAMILY,2025.0
BC,Vancouver,719999.0,628.0,1.0,2.0,CONDO,2015.0
BC,Vancouver,629999.0,825.0,2.0,2.0,CONDO,1993.0
BC,Vancouver,610000.0,580.0,1.0,1.0,CONDO,1999.0
BC,Vancouver,519000.0,602.0,1.0,1.0,CONDO,2015.0
BC,Vancouver,1999900.0,1199.0,2.0,3.0,SINGLE_FAMILY_HOUSE,1944.0
BC,Vancouver,609900.0,637.0,1.0,1.0,CONDO,2003.0
BC,Vancouver,2295000.0,1835.0,3.0,3.0,CONDO,1995.0
BC,Vancouver,1018800.0,908.0,2.0,2.0,CONDO,2018.0
BC,Vancouver,1899900.0,1708.0,4.0,3.0,SINGLE_FAMILY_HOUSE,2025.0
BC,Vancouver,1849900.0,1728.0,4.0,3.0,SINGLE_FAMILY_HOUSE,2025.0
BC,Vancouver,849000.0,811.0,1.0,2.0,SINGLE_FAMILY_HOUSE,2011.0
BC,Vancouver,1198000.0,930.0,2.0,2.0,CONDO,2014.0
BC,Vancouver,2699000.0,1579.0,1.0,2.0,SINGLE_FAMILY_HOUSE,1941.0
BC,Vancouver,1088800.0,822.0,2.0,2.0,TOWNHOUSE,2025.0
BC,Vancouver,2488800.0,1774.0,4.0,2.0,TOWNHOUSE,2025.0
BC,Vancouver,1058000.0,951.0,2.0,2.0,CONDO,2017.0
BC,Vancouver,4120000.0,4552.0,6.0,8.0,SINGLE_FAMILY_HOUSE,1995.0
BC,Vancouver,499900.0,707.0,1.0,1.0,SINGLE_FAMILY_HOUSE,1973.0
BC,Vancouver,899000.0,836.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2006.0
BC,Vancouver,2500000.0,1435.0,3.0,2.0,SINGLE_FAMILY_HOUSE,2021.0
BC,Vancouver,2249000.0,1907.0,1.0,2.0,SINGLE_FAMILY_HOUSE,1913.0
BC,Vancouver,1999000.0,1862.0,2.0,4.0,SINGLE_FAMILY_HOUSE,1927.0
BC,Vancouver,899000.0,932.0,2.0,2.0,SINGLE_FAMILY_HOUSE,1996.0
BC,Vancouver,1450000.0,1214.0,2.0,3.0,SINGLE_FAMILY_HOUSE,1995.0
BC,Vancouver,1288000.0,1332.0,3.0,3.0,SINGLE_FAMILY_HOUSE,2004.0
BC,Vancouver,1686000.0,1290.0,3.0,3.0,SINGLE_FAMILY_HOUSE,2025.0
BC,Vancouver,3199000.0,3031.0,4.0,5.0,SINGLE_FAMILY_HOUSE,1937.0
BC,Vancouver,1549900.0,1149.0,3.0,3.0,SINGLE_FAMILY_HOUSE,2026.0
BC,Vancouver,619800.0,694.0,1.0,1.0,SINGLE_FAMILY_HOUSE,1998.0
BC,Vancouver,998000.0,1032.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2004.0
BC,Vancouver,2500000.0,1435.0,3.0,2.0,CONDO,2021.0
BC,Vancouver,558800.0,524.0,1.0,1.0,CONDO,2017.0
BC,Vancouver,1999000.0,1862.0,2.0,4.0,SINGLE_FAMILY_HOUSE,1927.0
BC,Vancouver,9999000.0,3278.0,3.0,5.0,SINGLE_FAMILY_HOUSE,1927.0
BC,Vancouver,1899000.0,2309.0,2.0,3.0,SINGLE_FAMILY_HOUSE,1913.0
BC,Vancouver,999000.0,907.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2015.0
BC,Vancouver,1499000.0,1666.0,2.0,4.0,SINGLE_FAMILY_HOUSE,1946.0
BC,Vancouver,449900.0,428.0,1.0,1.0,CONDO,2008.0
BC,Vancouver,579000.0,526.0,1.0,1.0,CONDO,2007.0
BC,Vancouver,978000.0,1093.0,2.0,2.0,CONDO,2000.0
BC,Vancouver,599999.0,788.0,2.0,2.0,CONDO,2013.0
BC,Vancouver,998000.0,1032.0,2.0,2.0,CONDO,2004.0
BC,Vancouver,565000.0,549.0,1.0,1.0,CONDO,1969.0
BC,Vancouver,1049900.0,1047.0,2.0,3.0,SINGLE_FAMILY_HOUSE,2025.0
BC,Vancouver,1269000.0,1128.0,2.0,2.0,SINGLE_FAMILY_HOUSE,1982.0
BC,Vancouver,2499900.0,1961.0,5.0,4.0,SINGLE_FAMILY_HOUSE,2025.0
BC,Vancouver,549000.0,605.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2018.0
BC,Vancouver,619800.0,694.0,1.0,1.0,CONDO,1998.0
BC,Vancouver,2699900.0,2269.0,4.0,5.0,MULTI_FAMILY,2021.0
BC,Vancouver,1999000.0,2392.0,4.0,6.0,SINGLE_FAMILY_HOUSE,1928.0
BC,Vancouver,4480000.0,4470.0,9.0,8.0,SINGLE_FAMILY_HOUSE,1996.0
BC,Vancouver,1188000.0,1178.0,3.0,3.0,TOWNHOUSE,1986.0
BC,Vancouver,1288000.0,1197.0,2.0,2.0,CONDO,2000.0
BC,Vancouver,1499000.0,1666.0,2.0,4.0,SINGLE_FAMILY_HOUSE,1946.0
BC,Vancouver,3098000.0,1867.0,2.0,2.0,CONDO,1976.0
BC,Vancouver,930000.0,2554.0,2.0,5.0,SINGLE_FAMILY_HOUSE,1901.0
BC,Vancouver,9999000.0,3278.0,3.0,5.0,SINGLE_FAMILY_HOUSE,1927.0
BC,Vancouver,1048800.0,991.0,2.0,2.0,SINGLE_FAMILY_HOUSE,1975.0
BC,Vancouver,878000.0,850.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2011.0
BC,Vancouver,1638000.0,1694.0,4.0,4.0,SINGLE_FAMILY_HOUSE,2025.0
BC,Vancouver,1299000.0,1230.0,2.0,2.0,SINGLE_FAMILY_HOUSE,1994.0
BC,Vancouver,668800.0,514.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2006.0
BC,Vancouver,1339888.0,1327.0,4.0,3.0,SINGLE_FAMILY_HOUSE,2025.0
BC,Vancouver,499000.0,835.0,1.0,2.0,SINGLE_FAMILY_HOUSE,1996.0
BC,Vancouver,1750000.0,1555.0,3.0,2.0,SINGLE_FAMILY_HOUSE,1993.0
BC,Vancouver,699900.0,810.0,2.0,2.0,SINGLE_FAMILY_HOUSE,1995.0
